f_property_type,f_room_type,f_neighbourhood_cleansed,f_neighbourhood_group_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_backyard,d_baking_sheet,d_barbecue_utensils,d_bathtub,d_beach_essentials,d_beachfront,d_bed_linens,d_bidet,d_bikes,d_board_games,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_outdoor_shower,d_outlet_covers,d_pool,d_private_entrance,d_private_pool,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_shared_pool,d_single_level_home,d_smoke_alarm,d_toaster,d_waterfront,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_conditioner,d_have_body_soapgel,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_family_friendly,d_have_fireplace,d_instant_bookable,d_has_availability,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,room_type,property_type,flag_review_scores_rating,flag_reviews_per_month,flag_days_sincelast,f_bathroom,f_bedroom,ln_bed,f_beds,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
condo,Entire home/apt,Melendugno,Lecce,5,1,2,3,4.83,0,0.39,7,251,123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,54,49581966,Melendugno,Entire home/apt,condo,1,1,1,1,2,1.0986122886681098,2,3,1,2
condo,Entire home/apt,Bari,Bari,2,1,1,1,4.48,29,3.8,1,167,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,52,49582372,Bari,Entire home/apt,condo,0,0,0,1,2,0,1,3,2,1
condo,Entire home/apt,Gallipoli,Lecce,5,1,1,1,4.83,0,0.39,7,362,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,114,49582783,Gallipoli,Entire home/apt,condo,1,1,1,1,2,0,1,3,1,2
condo,Entire home/apt,Porto Cesareo,Lecce,5,1,2,4,4.83,0,0.39,7,178,123,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,50,49584036,Porto Cesareo,Entire home/apt,condo,1,1,1,1,2,1.3862943611198906,2,3,1,2
condo,Entire home/apt,Otranto,Lecce,2,1,1,1,5,2,0.28,1,30,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,253,49602871,Otranto,Entire home/apt,condo,0,0,0,1,2,0,1,3,2,1
condo,Entire home/apt,Lecce,Lecce,2,1,1,1,4.78,9,1.53,2,107,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,35,49606836,Lecce,Entire home/apt,condo,0,0,0,1,2,0,1,3,2,1
condo,Entire home/apt,Monopoli,Bari,6,2,3,3,5,2,0.32,3,212,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,160,49608989,Monopoli,Entire home/apt,condo,0,0,0,2,2,1.0986122886681098,2,3,2,1
condo,Entire home/apt,Gallipoli,Lecce,3,1,1,2,4.83,0,0.39,2,178,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,95,49610550,Gallipoli,Entire home/apt,condo,1,1,1,1,2,0.6931471805599453,1,3,1,1
condo,Entire home/apt,Gallipoli,Lecce,4,1,1,4,4.83,0,0.39,7,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33,49610940,Gallipoli,Entire home/apt,condo,1,1,1,1,2,1.3862943611198906,2,3,1,2
condo,Entire home/apt,Serracapriola,Foggia,4,1,2,4,5,5,0.76,5,145,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40,49614216,Serracapriola,Entire home/apt,condo,0,0,0,1,2,1.3862943611198906,2,3,2,2
